,r,rho,vp,vs,K,G
122,1296871.7212888165,8576.61182573556,6522.463442451227,3453.1493843456756,228511315658.23276,102269583548.44421
123,1300512.8233099987,8572.9797224095,6518.7848583089135,3451.9365338765633,228098998923.26788,102154476169.07755
124,1304135.2598800205,8569.356421349921,6515.114915801123,3450.7266224522346,227688114915.3756,102039733468.32883
125,1307739.2877215121,8565.74198330151,6511.453670560089,3449.5196702500803,227278666325.4019,101925356705.64314
126,1311324.2436113365,8562.139440335788,6507.804112525035,3448.316675219631,226870984578.52237,101811440205.8227
127,1314886.1300415008,8558.544496155566,6504.162056691981,3447.116235539271,226464595687.05798,101697849336.65211
128,1318452.5733580466,8554.952589341216,6500.522796245209,3445.9168128645456,226058973477.25244,101584438667.10756
129,1321923.5229884726,8551.386947478246,6496.909867129792,3444.7261645428525,225656735413.64206,101471940591.92549
130,1326009.1295795469,6284.555768302463,4729.591567193465,0.0,142914048810.92484,0.0
131,1330877.071257654,6280.462212789321,4726.117534715317,0.0,142601191528.0207,0.0
132,1335562.4262935575,6276.347808236818,4722.6248929070325,0.0,142287171329.29022,0.0
133,1340259.5441268322,6272.252574407447,4719.147614678915,0.0,141975042769.30945,0.0
134,1344921.4575540072,6268.164471081827,4715.675486293569,0.0,141663883917.6778,0.0
135,1349548.31171295,6264.098317733202,4712.221106313837,0.0,141354818146.13803,0.0
136,1354146.0635137744,6260.045582464345,4708.777237207863,0.0,141047191217.7368,0.0
137,1358717.7590629265,6256.003682965773,4705.34169640729,0.0,140740803399.20767,0.0
138,1363263.7495735313,6251.972876880167,4701.914710809674,0.0,140435670699.17163,0.0
139,1367783.2320136717,6247.954350886383,4698.497297994433,0.0,140131879235.09802,0.0
140,1372275.739600045,6243.948731153231,4695.089999766237,0.0,139829472368.8939,0.0
141,1376741.262339545,6239.956208653673,4691.692988116435,0.0,139528460433.56274,0.0
142,1381180.2185909844,6235.976591664959,4688.306109440055,0.0,139228824905.788,0.0
143,1385593.2198472666,6232.0095184187885,4684.9290653612825,0.0,138930534588.6759,0.0
144,1389980.8464193915,6228.054643859606,4681.561571608602,0.0,138633559711.55502,0.0
145,1394343.6306287989,6224.111682128407,4678.2033937853685,0.0,138337875079.86984,0.0
146,1398682.0572602488,6220.180382459781,4674.85432712922,0.0,138043458253.3561,0.0
147,1402996.5652194878,6216.2605379354045,4671.514204014267,0.0,137750290182.0562,0.0
148,1407287.548988145,6212.351984404593,4668.182893077963,0.0,137458355103.14404,0.0
149,1411555.3611660337,6208.454593487999,4664.860293231527,0.0,137167639993.72467,0.0
150,1415800.3195941357,6204.568262131921,4661.546324848101,0.0,136878133778.28003,0.0
151,1420022.702555386,6200.692924735285,4658.240940191335,0.0,136589828220.52583,0.0
152,1424222.7857183793,6196.828505039806,4654.944082360098,0.0,136302714330.18652,0.0
153,1428400.8659676872,6192.974897124477,4651.655669057985,0.0,136016780958.71466,0.0
154,1432557.2278151053,6189.132003161208,4648.375624470601,0.0,135732017591.76477,0.0
155,1436692.1555118111,6185.299719912155,4645.1038691293425,0.0,135448413421.89923,0.0
156,1440805.9327787785,6181.477943102479,4641.84032119806,0.0,135165957540.46591,0.0
157,1444898.8428542563,6177.666564100172,4638.584895654172,0.0,134884638803.07565,0.0
158,1448971.1682573317,6173.865471343009,4635.3375048625685,0.0,134604445901.42201,0.0
159,1453023.1883868002,6170.074553056734,4632.098060896618,0.0,134325367564.34134,0.0
160,1457055.1767772972,6166.293698691726,4628.866476766974,0.0,134047392663.14664,0.0
161,1461067.4010378614,6162.522799834361,4625.64266714859,0.0,133770510274.65488,0.0
162,1465060.1231230376,6158.761750200357,4622.426548409696,0.0,133494709681.09943,0.0
163,1469033.5994581385,6155.010445495119,4619.218038567774,0.0,133219980362.51468,0.0
164,1472988.0810946666,6151.268783448291,4616.017057270589,0.0,132946311995.24088,0.0
165,1476923.813861677,6147.536663763231,4612.823525755733,0.0,132673694446.99297,0.0
166,1480841.0385123969,6143.813988177931,4609.637366905464,0.0,132402117780.09445,0.0
