,r,rho,vp,vs,vphi,K,G
71,521048.5731790799,8829.270366786493,6592.224083206983,0.0,0.0,269812124697.1817,85433909206.6292
72,528387.2854773768,8826.55862143686,6589.595296589722,0.0,0.0,269487378544.91107,85368674821.21289
73,535725.9977756737,8823.831179816352,6586.951607170817,0.0,0.0,269159113471.48315,85302776577.00716
74,543064.7100739706,8821.103738195847,6584.30791775191,0.0,0.0,268827688399.72455,85236283400.88008
75,550403.4223722676,8818.376296575341,6581.664228333006,0.0,0.0,268492404355.53168,85169065287.37784
76,557742.1346705644,8815.648854954834,6579.020538914099,0.0,0.0,268154019152.90942,85101265876.70586
77,565080.8469688613,8812.921413334327,6576.376849495195,0.0,0.0,267811783406.27118,85032746301.95871
78,572419.5592671583,8810.193971713821,6573.733160076288,0.0,0.0,267466304424.16928,84963621569.7833
79,579758.2715654551,8807.466530093314,6571.089470657382,0.0,0.0,267117159045.97684,84893814278.02904
80,587096.983863752,8804.739088472808,6568.445781238477,0.0,0.0,266764473684.56555,84823349676.5893
81,594435.696162049,8802.011646852301,6565.802091819571,0.0,0.0,266408338638.94147,84752245986.82144
82,601774.4084603458,8799.043877110635,6562.973285195042,0.0,0.0,266048585267.29465,84680471946.07397
83,609113.1207586427,8795.850452256029,6559.9706635224065,0.0,0.0,265685162707.93866,84608022123.00706
84,616451.8330569396,8792.717257054832,6556.968041849769,0.0,0.0,265318230750.1249,84534927659.5037
85,623790.5453552365,8789.725216852044,6553.965420177132,0.0,0.0,264947786323.5291,84461189938.65167
86,631129.2576535335,8786.705241459238,6550.974039869905,0.0,0.0,264573813927.706,84386808088.2852
87,638467.9699518303,8783.570022239752,6548.029701128198,0.0,0.0,264196021798.2861,84311726534.70883
88,645806.6822501272,8780.463335563278,6545.034935414012,0.0,0.0,263814717903.50153,84236008463.36655
89,653145.3945484242,8256.710731468236,6067.90264687027,0.0,0.0,245541100391.00824,48983371926.00905
90,653145.3945484242,8256.710731468236,6067.90264687027,0.0,0.0,245541100391.00824,48983371926.00905
91,660455.5955502378,7529.318249799884,5405.130884873294,0.0,0.0,220298558457.76465,0.04161590714127462
92,667765.7965520514,7526.537476989079,5402.010374035955,0.0,0.0,219963934716.9722,0.03782858140512216
93,675075.997553865,7523.656299083788,5398.889863198615,0.0,0.0,219626673231.6534,0.034041255668969754
94,682386.1985556786,7520.70964357686,5395.769352361274,0.0,0.0,219285981211.96863,0.030253929932817294
95,689696.3995574922,7517.795269721813,5392.606703537001,0.0,0.0,218942343378.5563,0.026466604196664835
96,697006.6005593059,7514.920649822955,5389.3921629541255,0.0,0.0,218595655733.32272,0.02267927846051237
97,704316.8015611195,7512.046029924097,5386.1776223712495,0.0,0.0,218245845304.0361,0.01889195272435991
98,711627.0025629331,7509.17141002524,5382.963081788374,0.0,0.0,217892854355.19955,0.015104626988207448
99,718937.2035647468,7506.070427733108,5379.640173112237,0.0,0.0,217536657617.6811,0.011317301252054983
100,726247.4045665603,7502.783686977062,5376.228334953377,0.0,0.0,217177312057.34958,0.007529975515902581
101,733557.6055683739,7499.496946221016,5372.816496794518,0.0,0.0,216814836483.54492,0.0037426497797501193
102,740867.8065701876,7496.2102054649695,5369.404658635658,0.0,0.0,216449248778.3192,0.0
103,748178.0075720012,7492.923464708923,5365.992820476798,0.0,0.0,216080475472.521,0.0
104,755488.2085738148,7489.636723952876,5362.580982317939,0.0,0.0,215708517491.5532,0.0
105,762798.4095756283,7486.349983196828,5359.169144159077,0.0,0.0,215333479570.08435,0.0
106,770108.610577442,7483.219917268706,5355.539882927491,0.0,0.0,214955188360.9328,0.0
107,777418.8115792556,7480.095640018013,5351.902588548198,0.0,0.0,214573789981.85596,0.0
108,784729.0125810693,7476.971362767321,5348.265294168907,0.0,0.0,214189158384.80423,0.0
109,792039.2135828829,7473.847085516629,5344.627999789614,0.0,0.0,213801419522.48886,0.0
110,799349.4145846965,7470.722808265936,5340.9907054103205,0.0,0.0,213410393955.33218,0.0
111,806659.6155865102,7467.598531015245,5337.353411031028,0.0,0.0,213016237405.64203,0.0
112,813969.8165883238,7464.4742537645525,5333.716116651736,0.0,0.0,212618924274.12158,0.0
113,821280.0175901373,7461.3499765138595,5330.078822272444,0.0,0.0,212218346859.36774,0.0
114,828590.218591951,7458.2256992631665,5326.441527893152,0.0,0.0,211814601235.4341,0.0
115,835900.4195937646,7455.101422012475,5322.80423351386,0.0,0.0,211407679481.7397,0.0
116,843210.6205955782,7451.977144761783,5319.166939134567,0.0,0.0,210997572829.7707,0.0006624073225486321
117,850520.8215973917,7448.375369891037,5315.2415156283505,0.0,0.0,210584276242.26343,0.0012460556805407089
118,857831.0225992054,7444.211127504432,5310.976690903232,0.0,0.0,210167788095.8322,0.001206084022914604
119,865141.223601019,7440.046885117826,5306.711866178115,0.0,0.0,209748109773.98694,0.0011661123652884993
120,872451.4246028326,7435.8826427312215,5302.447041452998,0.0,0.0,209325245307.0217,0.0011261407076623945
121,879761.6256046463,7431.718400344616,5298.182216727881,0.0,0.0,208899201100.97412,0.0010861690500362897
122,887071.8266064599,7427.55415795801,5293.917392002763,0.0,0.0,208469985453.66208,0.0010461973924101847
123,894382.0276082736,7423.389915571405,5289.652567277646,0.0,0.0,208037532948.46036,0.0010062257347840798
124,901692.2286100872,7419.225673184801,5285.387742552528,0.0,0.0,207601915804.1356,0.000966254077157975
125,909002.4296119007,7415.061430798195,5281.122917827412,0.0,0.0,207163153400.27707,0.0009262824195318709
126,916312.6306137143,7410.897188411589,5276.858093102293,0.0,0.0,206721153508.787,0.000886310761905766
127,923622.831615528,7406.732946024984,5272.593268377177,0.0,0.0,206276024421.98157,0.0008463391042796612
128,930933.0326173416,7402.568703638379,5268.32844365206,0.0,0.0,205827683874.84436,0.0008063674466535564
129,938243.2336191551,7398.404461251775,5264.063618926943,0.0,0.0,205376218247.96912,0.0007663957890274523
130,945553.4346209688,7394.240218865169,5259.798794201824,0.0,0.0,204921536949.0431,0.0007264241314013473
131,952863.6356227824,7390.0759764785635,5255.533969476708,0.0,0.0,204463713336.6692,0.0006864524737752425
